break_slug,break_type,event_country,event_round,event_year,heat_number,heat_round_number,month,tour_gender,tour_year,wave_dir,surfer_age,surfer_avg_heat_total_break,surfer_avg_heat_total_bt,surfer_avg_heat_total_event,surfer_avg_heat_total_wd,surfer_avg_heat_total_ws,surfer_avg_ht,surfer_comp_hc,surfer_count_2,surfer_count_3,surfer_country,surfer_event_count,surfer_frontside,surfer_gender,surfer_heat_count,surfer_heat_count_break,surfer_heat_count_bt,surfer_heat_count_event,surfer_heat_count_wd,surfer_heat_count_ws,surfer_heat_losses,surfer_heat_win_break,surfer_heat_win_bt,surfer_heat_win_event,surfer_heat_win_wd,surfer_heat_win_ws,surfer_heat_wins,surfer_matchup_count,surfer_matchup_wins,surfer_points,surfer_prev_10_heat_place,surfer_prev_3_event_points,surfer_prev_5_event_points,surfer_prev_event_place,surfer_prev_event_points,surfer_prev_year_place,surfer_replace,surfer_stance,surfer_win_rate,surfer_won,op1_age,op1_avg_heat_total_break,op1_avg_heat_total_bt,op1_avg_heat_total_event,op1_avg_heat_total_wd,op1_avg_heat_total_ws,op1_avg_ht,op1_comp_hc,op1_country,op1_event_count,op1_frontside,op1_gender,op1_heat_count,op1_heat_count_break,op1_heat_count_bt,op1_heat_count_event,op1_heat_count_wd,op1_heat_count_ws,op1_heat_losses,op1_heat_win_break,op1_heat_win_bt,op1_heat_win_event,op1_heat_win_wd,op1_heat_win_ws,op1_heat_wins,op1_points,op1_prev_10_heat_place,op1_prev_3_event_points,op1_prev_5_event_points,op1_prev_event_place,op1_prev_event_points,op1_prev_year_place,op1_replace,op1_stance,op1_win_rate,op2_age,op2_avg_heat_total_break,op2_avg_heat_total_bt,op2_avg_heat_total_event,op2_avg_heat_total_wd,op2_avg_heat_total_ws,op2_avg_ht,op2_comp_hc,op2_country,op2_event_count,op2_frontside,op2_gender,op2_heat_count,op2_heat_count_break,op2_heat_count_bt,op2_heat_count_event,op2_heat_count_wd,op2_heat_count_ws,op2_heat_losses,op2_heat_win_break,op2_heat_win_bt,op2_heat_win_event,op2_heat_win_wd,op2_heat_win_ws,op2_heat_wins,op2_points,op2_prev_10_heat_place,op2_prev_3_event_points,op2_prev_5_event_points,op2_prev_event_place,op2_prev_event_points,op2_prev_year_place,op2_replace,op2_stance,op2_win_rate
jeffreys-bay,POINTBREAK,south-africa,9,2022,3,2,7,FEMALE,2022,RIGHT,28.0,13.43642857142857,14.26480392156863,,14.04404761904763,12.541,13.43642857142857,0,True,False,australia,95.0,1,FEMALE,350.0,352.0,102.0,,126.0,31.0,136.0,214.0,61.0,,79.0,19.0,214.0,11.0,6.0,31270.0,6.0,15220.0,22575.0,9.0,2610.0,6.0,False,REGULAR,0.6114285714285714,1,28.0,12.6811935483871,13.99284210526315,14.17727272727273,13.24183486238532,11.77577777777778,12.6811935483871,0,united-states,91.0,1,FEMALE,310.0,310.0,95.0,11.0,109.0,45.0,160.0,150.0,50.0,8.0,55.0,26.0,150.0,39005.0,3.0,17290.0,22510.0,5.0,4745.0,18.0,False,REGULAR,0.4838709677419355,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,3,3,7,FEMALE,2022,RIGHT,30.0,14.10814479638009,14.81245901639344,13.92,14.54868055555555,11.745,14.10814479638009,0,True,False,hawaii,106.0,1,FEMALE,442.0,442.0,122.0,8.0,144.0,12.0,135.0,307.0,85.0,6.0,101.0,6.0,307.0,6.0,4.0,49450.0,6.0,22545.0,32955.0,1.0,10000.0,1.0,False,REGULAR,0.6945701357466063,1,20.0,11.83768421052632,12.44258064516129,14.22333333333333,12.29435897435897,11.365,11.83768421052632,0,united-states,37.0,0,FEMALE,95.0,95.0,31.0,6.0,39.0,4.0,47.0,48.0,17.0,4.0,19.0,1.0,48.0,18665.0,5.0,11875.0,19230.0,5.0,4745.0,6.0,False,GOOFY,0.5052631578947369,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,3,3,7,FEMALE,2022,RIGHT,20.0,11.83768421052632,12.44258064516129,14.22333333333333,12.29435897435897,11.365,11.83768421052632,0,True,False,united-states,37.0,0,FEMALE,95.0,95.0,31.0,6.0,39.0,4.0,47.0,48.0,17.0,4.0,19.0,1.0,48.0,6.0,2.0,18665.0,5.0,11875.0,19230.0,5.0,4745.0,6.0,False,GOOFY,0.5052631578947369,0,30.0,14.10814479638009,14.81245901639344,13.92,14.54868055555555,11.745,14.10814479638009,0,hawaii,106.0,1,FEMALE,442.0,442.0,122.0,8.0,144.0,12.0,135.0,307.0,85.0,6.0,101.0,6.0,307.0,49450.0,6.0,22545.0,32955.0,1.0,10000.0,1.0,False,REGULAR,0.6945701357466063,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,2,4,7,FEMALE,2022,RIGHT,30.0,14.10814479638009,14.81245901639344,13.92,14.54868055555555,13.54393442622951,14.10814479638009,0,True,False,hawaii,106.0,1,FEMALE,442.0,442.0,122.0,8.0,144.0,61.0,135.0,307.0,85.0,6.0,101.0,40.0,307.0,16.0,10.0,49450.0,6.0,22545.0,32955.0,1.0,10000.0,1.0,False,REGULAR,0.6945701357466063,0,26.0,12.23875502008032,12.60968253968254,14.20166666666667,12.25825,12.25381818181818,12.23875502008032,0,brazil,69.0,0,FEMALE,249.0,250.0,63.0,6.0,80.0,56.0,131.0,118.0,25.0,3.0,36.0,29.0,118.0,35220.0,6.0,14780.0,20000.0,3.0,6085.0,2.0,False,GOOFY,0.4738955823293173,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,2,4,7,FEMALE,2022,RIGHT,26.0,12.23875502008032,12.60968253968254,14.20166666666667,12.25825,12.25381818181818,12.23875502008032,0,True,False,brazil,69.0,0,FEMALE,249.0,250.0,63.0,6.0,80.0,56.0,131.0,118.0,25.0,3.0,36.0,29.0,118.0,16.0,6.0,35220.0,6.0,14780.0,20000.0,3.0,6085.0,2.0,False,GOOFY,0.4738955823293173,1,30.0,14.10814479638009,14.81245901639344,13.92,14.54868055555555,13.54393442622951,14.10814479638009,0,hawaii,106.0,1,FEMALE,442.0,442.0,122.0,8.0,144.0,61.0,135.0,307.0,85.0,6.0,101.0,40.0,307.0,49450.0,6.0,22545.0,32955.0,1.0,10000.0,1.0,False,REGULAR,0.6945701357466063,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,4,1,7,FEMALE,2022,RIGHT,28.0,12.6811935483871,13.99284210526315,14.17727272727273,13.24183486238532,11.77577777777778,12.6811935483871,0,False,True,united-states,91.0,1,FEMALE,310.0,310.0,95.0,11.0,109.0,45.0,160.0,150.0,50.0,8.0,55.0,26.0,150.0,,,39005.0,3.0,17290.0,22510.0,5.0,4745.0,18.0,False,REGULAR,0.4838709677419355,0,28.0,13.43642857142857,14.26480392156863,,14.04404761904763,12.541,13.43642857142857,0,australia,95.0,1,FEMALE,350.0,352.0,102.0,,126.0,31.0,136.0,214.0,61.0,,79.0,19.0,214.0,31270.0,6.0,15220.0,22575.0,9.0,2610.0,6.0,False,REGULAR,0.6114285714285714,26.0,12.23875502008032,12.60968253968254,14.20166666666667,12.25825,12.25381818181818,12.23875502008032,0,brazil,69.0,0,FEMALE,249.0,250.0,63.0,6.0,80.0,56.0,131.0,118.0,25.0,3.0,36.0,29.0,118.0,35220.0,6.0,14780.0,20000.0,3.0,6085.0,2.0,False,GOOFY,0.4738955823293173
jeffreys-bay,POINTBREAK,south-africa,9,2022,4,1,7,FEMALE,2022,RIGHT,26.0,12.23875502008032,12.60968253968254,14.20166666666667,12.25825,12.25381818181818,12.23875502008032,0,False,True,brazil,69.0,0,FEMALE,249.0,250.0,63.0,6.0,80.0,56.0,131.0,118.0,25.0,3.0,36.0,29.0,118.0,,,35220.0,6.0,14780.0,20000.0,3.0,6085.0,2.0,False,GOOFY,0.4738955823293173,1,28.0,13.43642857142857,14.26480392156863,,14.04404761904763,12.541,13.43642857142857,0,australia,95.0,1,FEMALE,350.0,352.0,102.0,,126.0,31.0,136.0,214.0,61.0,,79.0,19.0,214.0,31270.0,6.0,15220.0,22575.0,9.0,2610.0,6.0,False,REGULAR,0.6114285714285714,28.0,12.6811935483871,13.99284210526315,14.17727272727273,13.24183486238532,11.77577777777778,12.6811935483871,0,united-states,91.0,1,FEMALE,310.0,310.0,95.0,11.0,109.0,45.0,160.0,150.0,50.0,8.0,55.0,26.0,150.0,39005.0,3.0,17290.0,22510.0,5.0,4745.0,18.0,False,REGULAR,0.4838709677419355
jeffreys-bay,POINTBREAK,south-africa,9,2022,4,1,7,FEMALE,2022,RIGHT,28.0,13.43642857142857,14.26480392156863,,14.04404761904763,12.541,13.43642857142857,0,False,True,australia,95.0,1,FEMALE,350.0,352.0,102.0,,126.0,31.0,136.0,214.0,61.0,,79.0,19.0,214.0,,,31270.0,6.0,15220.0,22575.0,9.0,2610.0,6.0,False,REGULAR,0.6114285714285714,0,26.0,12.23875502008032,12.60968253968254,14.20166666666667,12.25825,12.25381818181818,12.23875502008032,0,brazil,69.0,0,FEMALE,249.0,250.0,63.0,6.0,80.0,56.0,131.0,118.0,25.0,3.0,36.0,29.0,118.0,35220.0,6.0,14780.0,20000.0,3.0,6085.0,2.0,False,GOOFY,0.4738955823293173,28.0,12.6811935483871,13.99284210526315,14.17727272727273,13.24183486238532,11.77577777777778,12.6811935483871,0,united-states,91.0,1,FEMALE,310.0,310.0,95.0,11.0,109.0,45.0,160.0,150.0,50.0,8.0,55.0,26.0,150.0,39005.0,3.0,17290.0,22510.0,5.0,4745.0,18.0,False,REGULAR,0.4838709677419355
jeffreys-bay,POINTBREAK,south-africa,9,2022,2,2,7,FEMALE,2022,RIGHT,30.0,13.27479289940829,13.67048076923077,11.772,13.48448275862069,11.65333333333333,13.27479289940829,0,True,False,united-states,93.0,1,FEMALE,338.0,340.0,105.0,5.0,117.0,30.0,150.0,188.0,51.0,1.0,56.0,12.0,188.0,15.0,5.0,30535.0,5.0,9965.0,22135.0,9.0,2610.0,9.0,False,REGULAR,0.5562130177514792,0,34.0,13.42219072164949,14.45970802919708,14.3525,14.09935897435897,12.70684210526316,13.42219072164949,0,australia,106.0,1,FEMALE,388.0,389.0,137.0,8.0,156.0,57.0,148.0,240.0,97.0,7.0,112.0,40.0,240.0,36585.0,4.0,17355.0,26845.0,9.0,2610.0,5.0,False,REGULAR,0.6185567010309279,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,2,2,7,FEMALE,2022,RIGHT,34.0,13.42219072164949,14.45970802919708,14.3525,14.09935897435897,12.70684210526316,13.42219072164949,0,True,False,australia,106.0,1,FEMALE,388.0,389.0,137.0,8.0,156.0,57.0,148.0,240.0,97.0,7.0,112.0,40.0,240.0,15.0,9.0,36585.0,4.0,17355.0,26845.0,9.0,2610.0,5.0,False,REGULAR,0.6185567010309279,1,30.0,13.27479289940829,13.67048076923077,11.772,13.48448275862069,11.65333333333333,13.27479289940829,0,united-states,93.0,1,FEMALE,338.0,340.0,105.0,5.0,117.0,30.0,150.0,188.0,51.0,1.0,56.0,12.0,188.0,30535.0,5.0,9965.0,22135.0,9.0,2610.0,9.0,False,REGULAR,0.5562130177514792,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,1,3,7,FEMALE,2022,RIGHT,29.0,12.20691176470587,12.44094594594595,13.60571428571428,12.26865853658537,11.859,12.20691176470587,0,True,False,france,77.0,1,FEMALE,272.0,272.0,74.0,7.0,82.0,10.0,152.0,120.0,31.0,2.0,31.0,4.0,120.0,14.0,5.0,47610.0,5.0,23885.0,33375.0,2.0,7800.0,4.0,False,REGULAR,0.4411764705882353,0,28.0,13.43642857142857,14.26480392156863,,14.04404761904763,10.66166666666667,13.43642857142857,0,australia,95.0,1,FEMALE,350.0,352.0,102.0,,126.0,6.0,136.0,214.0,61.0,,79.0,3.0,214.0,31270.0,6.0,15220.0,22575.0,9.0,2610.0,6.0,False,REGULAR,0.6114285714285714,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,1,3,7,FEMALE,2022,RIGHT,28.0,13.43642857142857,14.26480392156863,,14.04404761904763,10.66166666666667,13.43642857142857,0,True,False,australia,95.0,1,FEMALE,350.0,352.0,102.0,,126.0,6.0,136.0,214.0,61.0,,79.0,3.0,214.0,14.0,9.0,31270.0,6.0,15220.0,22575.0,9.0,2610.0,6.0,False,REGULAR,0.6114285714285714,1,29.0,12.20691176470587,12.44094594594595,13.60571428571428,12.26865853658537,11.859,12.20691176470587,0,france,77.0,1,FEMALE,272.0,272.0,74.0,7.0,82.0,10.0,152.0,120.0,31.0,2.0,31.0,4.0,120.0,47610.0,5.0,23885.0,33375.0,2.0,7800.0,4.0,False,REGULAR,0.4411764705882353,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,4,2,7,FEMALE,2022,RIGHT,20.0,10.81148148148148,12.1275,,12.37444444444444,9.951666666666666,10.81148148148148,0,True,False,hawaii,9.0,1,FEMALE,27.0,27.0,4.0,,9.0,12.0,17.0,10.0,1.0,,4.0,4.0,10.0,1.0,0.0,33020.0,4.0,11305.0,21715.0,3.0,6085.0,20.0,False,REGULAR,0.3703703703703703,1,25.0,10.806,11.65235294117647,,11.16666666666666,10.43529411764706,10.806,0,australia,18.0,1,FEMALE,50.0,50.0,17.0,,18.0,17.0,29.0,21.0,8.0,,5.0,7.0,21.0,34675.0,5.0,12100.0,24710.0,5.0,4745.0,8.0,False,REGULAR,0.42,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,4,2,7,FEMALE,2022,RIGHT,25.0,10.806,11.65235294117647,,11.16666666666666,10.43529411764706,10.806,0,True,False,australia,18.0,1,FEMALE,50.0,50.0,17.0,,18.0,17.0,29.0,21.0,8.0,,5.0,7.0,21.0,1.0,1.0,34675.0,5.0,12100.0,24710.0,5.0,4745.0,8.0,False,REGULAR,0.42,0,20.0,10.81148148148148,12.1275,,12.37444444444444,9.951666666666666,10.81148148148148,0,hawaii,9.0,1,FEMALE,27.0,27.0,4.0,,9.0,12.0,17.0,10.0,1.0,,4.0,4.0,10.0,33020.0,4.0,11305.0,21715.0,3.0,6085.0,20.0,False,REGULAR,0.3703703703703703,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
jeffreys-bay,POINTBREAK,south-africa,9,2022,1,5,7,FEMALE,2022,RIGHT,26.0,12.23875502008032,12.60968253968254,14.20166666666667,12.25825,12.25381818181818,12.23875502008032,0,True,False,brazil,69.0,0,FEMALE,249.0,250.0,63.0,6.0,80.0,56.0,131.0,118.0,25.0,3.0,36.0,29.0,118.0,6.0,1.0,35220.0,6.0,14780.0,20000.0,3.0,6085.0,2.0,False,GOOFY,0.4738955823293173,1,28.0,13.43642857142857,14.26480392156863,,14.04404761904763,12.541,13.43642857142857,0,australia,95.0,1,FEMALE,350.0,352.0,102.0,,126.0,31.0,136.0,214.0,61.0,,79.0,19.0,214.0,31270.0,6.0,15220.0,22575.0,9.0,2610.0,6.0,False,REGULAR,0.6114285714285714,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
